brightness,number22,acq_time,confidence,bright_t31,frp,type
313.5,1,826,61,297.6,6.9,0
344.5,2,1649,26,290,10.2,0
316.7,3,813,62,297.3,15,0
312,4,545,70,303.1,10.8,0
308.5,5,1718,70,289.6,10.1,0
304.9,6,534,80,296.8,29.3,0
314.6,7,1707,51,290.5,5.5,0
307.9,8,521,42,296.4,8,0
304.3,9,603,65,299.3,36.7,0
351,10,819,64,297.7,10,0
301.6,11,903,45,296.9,23,0
314.9,12,807,70,299.5,25.3,0
318.2,13,539,47,299.4,7.1,0
311.6,14,755,25,302.5,19.3,0
307.6,15,528,70,291.8,12.7,0
316.3,16,1700,67,295.6,5.5,0
307.1,17,516,53,296.4,6.2,0
309.7,18,1649,49,291.2,13.4,0
307.8,19,813,54,303.5,7.3,0
313.9,20,545,52,298.2,11.4,0
309.6,21,801,69,303.8,16.1,0
313.7,22,533,58,297.9,10.1,0
306.3,23,1706,82,290.4,11.1,0
303.1,24,521,61,299.7,6.6,0
318.4,25,1654,52,290.3,4.6,0
308.3,26,819,70,305.3,9.4,0
317,27,551,60,299.6,9.8,0
305.1,28,807,72,302.7,17.6,0
334,29,539,42,301.7,6.4,0
324.8,30,755,69,299.5,39.9,0
301.9,31,837,46,300.6,17.6,0
316.9,32,610,41,295.7,57.7,0
315,33,825,47,306.8,9.2,0
309.6,34,557,62,299,41.8,0
314.1,35,503,53,301.3,11.2,0
314.1,36,856,71,302,48.3,0
300.8,37,801,50,300.9,12.5,0
328.8,38,843,27,293.3,11.5,0
324.2,39,749,73,300.5,24.7,0
327.3,40,521,64,303.7,6.3,0
324.9,41,1654,50,289,6.3,0
302.7,42,819,66,299.3,14.1,0
300.3,43,1641,38,291.2,8.4,0
316.4,44,807,57,294.8,24.2,0
315.6,45,539,75,300.9,15.5,0
316.6,46,1711,50,283.6,6.7,0
311.7,47,527,53,296.7,14.8,0
324.6,48,1659,64,294,5.4,0
311.8,49,515,60,300.1,6,0
326.5,50,1647,58,291.9,7.1,0
312.8,51,812,68,302.9,14.8,0
312.7,52,545,65,303.5,10.1,0
320.7,53,800,70,307.4,12.5,0
304.9,54,533,60,305,8.5,0
335.6,55,748,66,301.5,24,0
314.8,56,830,29,302.6,10.1,0
317.7,57,1653,75,294.3,7.5,0
319.8,58,509,68,299.6,11.7,0
316.5,59,902,58,304.5,50.6,0
327.4,60,805,37,308.1,12.7,0
304.9,61,849,42,272.8,26.4,0
334.2,62,1711,87,296.6,10.3,0
329.2,63,836,47,298,13.1,0
344,64,1658,75,295.5,7.2,0
326.5,65,824,85,314.5,18.3,0
326.1,66,908,66,289.5,94.4,0
313.2,67,811,65,304.3,9.5,0
353.4,68,855,52,305.6,53,0
312.3,69,800,71,310.6,17.6,0
305,70,533,76,309.8,16.9,0
331.2,71,1704,50,291.8,5.2,0
319,72,830,76,317.4,14.7,0
326.1,73,1652,80,294.5,14.4,0
324.4,74,508,80,307,12.2,0
